epoch,train_loss,val_loss,train_auc,val_auc,train_accuracy,val_accuracy,train_f1,val_f1
1,0.9673059582710266,0.986440896987915,0.5408163265306122,0.0,0.6190476190476191,0.6666666666666666,0.3333333333333333,0.0
2,0.8465654253959656,0.9953003525733948,0.8265306122448979,0.0,0.7142857142857143,0.6666666666666666,0.25,0.0
3,0.8563038110733032,1.000272512435913,0.7755102040816326,0.0,0.8095238095238095,0.6666666666666666,0.6,0.0
4,0.8800151348114014,1.0042928457260132,0.653061224489796,0.0,0.8095238095238095,0.6666666666666666,0.6,0.0
5,0.7992172241210938,1.0105117559432983,0.8571428571428571,0.0,0.7142857142857143,0.6666666666666666,0.4,0.0
6,0.7453981041908264,1.0166298151016235,0.979591836734694,0.0,0.8095238095238095,0.6666666666666666,0.6,0.0
7,0.6632319092750549,1.02708899974823,1.0,0.0,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.0
8,0.7353888750076294,1.0321650505065918,0.9081632653061225,0.0,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.0
9,0.7271237969398499,1.0393325090408325,0.9285714285714285,0.0,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.0
10,0.575477123260498,1.0489252805709839,0.9795918367346939,0.0,0.9047619047619048,0.6666666666666666,0.8333333333333334,0.0
11,0.5551568865776062,1.05769944190979,1.0,0.0,0.9523809523809523,0.6666666666666666,0.9230769230769231,0.0
12,0.6110321879386902,1.0639547109603882,1.0,0.0,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.0
13,0.6391984820365906,1.072014570236206,0.9897959183673469,0.0,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.0
14,0.6018248796463013,1.0808721780776978,1.0,0.0,0.9047619047619048,0.6666666666666666,0.8333333333333334,0.0
15,0.5355706214904785,1.0794280767440796,1.0,0.0,0.9523809523809523,0.6666666666666666,0.9230769230769231,0.0
16,0.5778643488883972,1.0823884010314941,0.9897959183673469,0.0,0.9523809523809523,0.6666666666666666,0.9230769230769231,0.0
17,0.6406773328781128,1.0855640172958374,0.9897959183673469,0.0,0.9047619047619048,0.6666666666666666,0.8333333333333334,0.0
18,0.5339856147766113,1.0897741317749023,1.0,0.0,0.9047619047619048,0.6666666666666666,0.8333333333333334,0.0
19,0.5542401075363159,1.0991343259811401,1.0,0.0,0.9047619047619048,0.6666666666666666,0.8333333333333334,0.0
20,0.4912831783294678,1.1070445775985718,1.0,0.0,1.0,0.6666666666666666,1.0,0.0
21,0.48464515805244446,1.1179367303848267,1.0,0.0,1.0,0.6666666666666666,1.0,0.0
