epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,val_sensitivity,val_specificity
1,0.9233259558677673,0.9319853782653809,0.5408163265306123,0.0,0.2,0.0,0.0,1.0
2,0.9121988415718079,0.9351904988288879,0.5816326530612245,0.0,0.4,0.0,0.0,1.0
3,0.9217128753662109,0.9368526935577393,0.5714285714285714,0.0,0.5,0.0,0.0,1.0
4,0.8467894792556763,0.9386422038078308,0.8163265306122449,0.0,0.5,0.0,0.0,1.0
5,0.8434826731681824,0.9390692710876465,0.8979591836734693,0.0,0.7692307692307693,0.0,0.0,1.0
6,0.8307408094406128,0.9432492852210999,0.7857142857142858,0.0,0.7692307692307693,0.0,0.0,1.0
7,0.7574032545089722,0.9457144737243652,0.9387755102040816,0.0,0.7142857142857143,0.0,0.0,1.0
8,0.8101255297660828,0.9451860785484314,0.9081632653061225,0.0,0.7142857142857143,0.0,0.0,1.0
9,0.7783126831054688,0.9461926817893982,0.846938775510204,0.0,0.7692307692307693,0.0,0.0,1.0
10,0.7494996786117554,0.9505922198295593,0.979591836734694,0.0,0.8235294117647058,0.0,0.0,1.0
11,0.7273866534233093,0.9582080841064453,0.9489795918367347,0.0,0.8571428571428571,0.0,0.0,1.0
12,0.6970968246459961,0.9686970710754395,0.9285714285714285,0.0,0.8333333333333334,0.0,0.0,1.0
13,0.6565369367599487,0.9754700660705566,0.979591836734694,0.0,0.8,0.0,0.0,1.0
14,0.6769028902053833,0.9834386706352234,0.9897959183673469,0.0,0.9333333333333333,0.0,0.0,1.0
15,0.6632868647575378,0.9919034838676453,0.9693877551020409,0.0,0.7692307692307693,0.0,0.0,1.0
16,0.6490553617477417,1.001419186592102,0.9591836734693877,0.0,0.75,0.0,0.0,1.0
17,0.5894654393196106,1.0115323066711426,0.9795918367346939,0.0,0.9333333333333333,0.0,0.0,1.0
18,0.6242914795875549,1.0243052244186401,0.979591836734694,0.0,0.8235294117647058,0.0,0.0,1.0
19,0.577377438545227,1.038963794708252,1.0,0.0,1.0,0.0,0.0,1.0
20,0.5728567242622375,1.0543485879898071,1.0,0.0,0.9333333333333333,0.0,0.0,1.0
