feature,mean_abs_shap
spiculation_mean,0.010156546265207738
subtlety_mean,0.0043776816127120395
lobulation_mean,0.0028441830924474886
calcification_mean,0.0021293569255509998
sphericity_mean,0.001686931890944844
margin_mean,0.0013583101666322722
texture_mean,0.00089715150354793
internalStructure_mean,0.0
