epoch,train_loss,val_loss,train_auc,val_auc,train_accuracy,val_accuracy,train_f1,val_f1
1,0.9218176603317261,0.925896167755127,0.5510204081632653,0.0,0.6190476190476191,0.6666666666666666,0.5555555555555556,0.0
2,0.8483136296272278,0.9258736968040466,0.7551020408163265,0.0,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.0
3,0.7739840149879456,0.9296658039093018,0.7959183673469387,0.0,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.0
4,0.8465368151664734,0.9341509938240051,0.6836734693877551,0.0,0.7142857142857143,0.6666666666666666,0.5,0.0
5,0.7822369337081909,0.9413659572601318,0.8163265306122449,0.0,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.0
6,0.7447067499160767,0.9497289657592773,0.846938775510204,0.0,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.0
7,0.7184595465660095,0.9602735638618469,0.9387755102040816,0.0,0.8571428571428571,0.6666666666666666,0.7692307692307693,0.0
8,0.7670544385910034,0.9744495749473572,0.8061224489795917,0.0,0.7142857142857143,0.6666666666666666,0.625,0.0
9,0.7197409868240356,0.9906299710273743,0.8877551020408163,0.0,0.6666666666666666,0.6666666666666666,0.631578947368421,0.0
10,0.6755679249763489,1.0097050666809082,0.9489795918367346,0.0,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.0
11,0.7405318021774292,1.0336451530456543,0.846938775510204,0.0,0.7619047619047619,0.6666666666666666,0.6153846153846154,0.0
12,0.6188852190971375,1.0636101961135864,0.9387755102040816,0.0,0.8571428571428571,0.6666666666666666,0.8235294117647058,0.0
13,0.6409716606140137,1.0853759050369263,0.8775510204081631,0.0,0.7619047619047619,0.6666666666666666,0.6153846153846154,0.0
14,0.6119268536567688,1.1082148551940918,0.9183673469387754,0.0,0.8095238095238095,0.6666666666666666,0.75,0.0
15,0.5512346029281616,1.13275146484375,0.9897959183673469,0.0,0.9523809523809523,0.6666666666666666,0.9333333333333333,0.0
16,0.6145678162574768,1.1600009202957153,0.9285714285714286,0.0,0.8571428571428571,0.6666666666666666,0.8,0.0
17,0.6084606647491455,1.1888407468795776,0.9591836734693878,0.0,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.0
18,0.6057581901550293,1.2171708345413208,0.9387755102040816,0.0,0.8571428571428571,0.6666666666666666,0.8,0.0
19,0.6098411083221436,1.2448185682296753,0.9591836734693877,0.0,0.8095238095238095,0.6666666666666666,0.7777777777777778,0.0
20,0.5447155833244324,1.2732781171798706,0.9489795918367347,0.0,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.0
21,0.5610527992248535,1.3007816076278687,0.9591836734693878,0.0,0.9523809523809523,0.6666666666666666,0.9333333333333333,0.0
