epoch,train_loss,val_loss,train_auc,val_auc,train_accuracy,val_accuracy,train_f1,val_f1
1,0.8724756498594541,0.6954418420791626,0.36363636363636365,1.0,0.3783783783783784,1.0,0.25806451612903225,1.0
2,0.7551989845327429,0.6848390698432922,0.7151515151515152,1.0,0.5945945945945946,1.0,0.5714285714285714,1.0
3,0.7747530453913921,0.6558091044425964,0.6787878787878787,1.0,0.6216216216216216,1.0,0.5625,1.0
4,0.7666140859191483,0.6208822727203369,0.6909090909090909,1.0,0.6486486486486487,0.9444444444444444,0.6285714285714286,0.0
5,0.757180887299615,0.5939134359359741,0.6969696969696969,1.0,0.5945945945945946,0.9444444444444444,0.5714285714285714,0.0
6,0.7130332959664835,0.5777813792228699,0.796969696969697,1.0,0.7027027027027027,0.9444444444444444,0.6451612903225806,0.0
7,0.7617891495292252,0.5538665056228638,0.6939393939393939,1.0,0.7027027027027027,0.9444444444444444,0.6666666666666666,0.0
8,0.7325632153330622,0.5272305011749268,0.7272727272727273,1.0,0.6756756756756757,0.9444444444444444,0.6470588235294118,0.0
9,0.7289337757471446,0.5123624801635742,0.7515151515151516,1.0,0.7027027027027027,0.9444444444444444,0.6666666666666666,0.0
10,0.7258623419581233,0.497515469789505,0.7090909090909091,1.0,0.6756756756756757,0.9444444444444444,0.6666666666666666,0.0
11,0.722672024288693,0.47934457659721375,0.7363636363636363,1.0,0.6216216216216216,0.9444444444444444,0.5882352941176471,0.0
12,0.7276368044518136,0.4739236831665039,0.7151515151515151,0.9411764705882353,0.5675675675675675,0.9444444444444444,0.5294117647058824,0.0
13,0.6886280791179554,0.4848061203956604,0.8242424242424242,0.9411764705882353,0.7567567567567568,0.9444444444444444,0.7272727272727273,0.0
14,0.7133790608998891,0.4950486719608307,0.7515151515151515,0.9411764705882353,0.6756756756756757,0.9444444444444444,0.5714285714285714,0.0
15,0.6970979571342468,0.49127447605133057,0.7787878787878787,0.9411764705882353,0.7027027027027027,0.9444444444444444,0.6451612903225806,0.0
16,0.6863088865537901,0.4855903089046478,0.7787878787878788,0.9411764705882353,0.7297297297297297,0.8888888888888888,0.6666666666666666,0.0
17,0.6854603451651495,0.4748370945453644,0.796969696969697,0.9411764705882353,0.7027027027027027,0.8888888888888888,0.5925925925925926,0.0
18,0.7009866447062105,0.46134981513023376,0.7424242424242424,0.9411764705882353,0.6486486486486487,0.8888888888888888,0.5806451612903226,0.0
19,0.7422317395339141,0.4718155264854431,0.7090909090909091,0.9411764705882353,0.6486486486486487,0.8888888888888888,0.5806451612903226,0.0
20,0.7088737777761511,0.4688204228878021,0.7242424242424242,0.9411764705882353,0.7297297297297297,0.8888888888888888,0.6428571428571429,0.0
21,0.6857164212175317,0.46663549542427063,0.7878787878787878,0.9411764705882353,0.7567567567567568,0.8888888888888888,0.6896551724137931,0.0
